d,r,n,|A|,|A+A|
2,8,42,1764,1449688
2,9,42,1559,1137792
3,2,42,1324,683006
3,3,42,1764,1314053
3,4,42,1313,770898
3,5,42,1684,1294413
3,6,42,1764,1427752
3,7,42,1518,1073727
3,8,42,1724,1394496
3,9,42,1764,1453869
4,2,42,1764,1139582
4,3,42,1564,1046309
4,4,42,1764,1372528
4,5,42,1395,884021
4,6,42,1764,1438157
4,7,42,1724,1381965
4,8,42,1764,1448614
4,9,42,1559,1137710
2,2,43,1849,1272025
2,3,43,1261,687794
2,4,43,1849,1513011
2,5,43,1471,984453
2,6,43,1849,1569744
2,7,43,1597,1190279
2,8,43,1849,1594671
2,9,43,1639,1259245
3,2,43,1398,764784
3,3,43,1849,1448130
3,4,43,1387,862064
3,5,43,1767,1426486
3,6,43,1849,1570578
3,7,43,1597,1189991
3,8,43,1808,1535691
3,9,43,1849,1599607
4,2,43,1849,1258151
4,3,43,1644,1158347
4,4,43,1849,1512424
4,5,43,1471,984247
4,6,43,1849,1581530
4,7,43,1808,1522436
4,8,43,1849,1592811
4,9,43,1639,1259161
2,2,44,1936,1401983
2,3,44,1291,723405
2,4,44,1936,1662725
2,5,44,1549,1093031
2,6,44,1936,1723026
2,7,44,1678,1315784
2,8,44,1936,1749884
2,9,44,1721,1390191
3,2,44,1474,853020
3,3,44,1936,1591926
3,4,44,1463,960736
3,5,44,1852,1568287
3,6,44,1936,1723102
3,7,44,1678,1315489
3,8,44,1894,1687081
3,9,44,1936,1755973
4,2,44,1936,1389102
4,3,44,1726,1279318
4,4,44,1936,1662106
4,5,44,1549,1092820
4,6,44,1936,1733959
4,7,44,1894,1673126
4,8,44,1936,1748968
4,9,44,1721,1389811
2,2,45,2025,1541744
2,3,45,1365,810307
2,4,45,2025,1822809
2,5,45,1629,1210409
2,6,45,2025,1886240
2,7,45,1761,1451000
2,8,45,2025,1916312
2,9,45,1805,1531113
3,2,45,1552,948091
3,3,45,2025,1747721
3,4,45,1541,1067538
3,5,45,1939,1720816
3,6,45,2025,1886401
3,7,45,1717,1379489
3,8,45,1982,1849443
3,9,45,2025,1923216
4,2,45,2025,1527704
4,3,45,1810,1409454
4,4,45,2025,1822663
4,5,45,1629,1210193
4,6,45,2025,1897666
4,7,45,1982,1834685
4,8,45,2025,1916344
4,9,45,1805,1530337
2,2,46,2116,1691817
2,3,46,1441,904304
2,4,46,2116,1993716
2,5,46,1711,1337052
2,6,46,2116,2061243
2,7,46,1801,1519921
2,8,46,2116,2095175
2,9,46,1891,1682110
3,2,46,1588,998201
3,3,46,2116,1913542
3,4,46,1576,1119269
3,5,46,2028,1884505
3,6,46,2116,2062226
3,7,46,1801,1519744
3,8,46,2072,2023161
3,9,46,2116,2102189
4,2,46,2116,1676720
4,3,46,1896,1549614
4,4,46,2116,1993566
4,5,46,1711,1336100
4,6,46,2116,2072884
4,7,46,2072,2007923
4,8,46,2116,2095112
4,9,46,1891,1681316
2,2,47,2209,1852692
2,3,47,1473,947825
2,4,47,2209,2176801
2,5,47,1795,1472645
2,6,47,2209,2249074
2,7,47,1887,1670587
2,8,47,2209,2286127
2,9,47,1979,1844067
3,2,47,1669,1106118
3,3,47,2209,2090497
3,4,47,1657,1239612
3,5,47,2119,2059542
3,6,47,2209,2250124
3,7,47,1887,1670271
3,8,47,2164,2208901
3,9,47,2209,2293429
4,2,47,2209,1836334
4,3,47,1984,1699520
4,4,47,2209,2178025
4,5,47,1749,1398915
4,6,47,2209,2261250
4,7,47,2164,2193172
4,8,47,2209,2286100
4,9,47,1979,1843255
2,2,48,2304,2025007
2,3,48,1552,1054214
2,4,48,2304,2372971
2,5,48,1834,1540311
2,6,48,2304,2449565
2,7,48,1975,1832072
2,8,48,2304,2489659
2,9,48,2069,2017503
3,2,48,1752,1222500
3,3,48,2304,2280122
3,4,48,1740,1368877
3,5,48,2212,2246437
3,6,48,2304,2449582
3,7,48,1975,1831749
3,8,48,2258,2407335
3,9,48,2304,2497485
4,2,48,2304,2009858
4,3,48,2028,1781495
4,4,48,2304,2374386
4,5,48,1834,1540080
4,6,48,2304,2462241
4,7,48,2258,2388182
4,8,48,2304,2489900
4,9,48,2022,1926719
2,2,49,2401,2209115
2,3,49,1633,1168667
2,4,49,2401,2581777
2,5,49,1921,1691954
2,6,49,2401,2663179
2,7,49,2065,2005027
2,8,49,2401,2706504
2,9,49,2161,2202949
3,2,49,1837,1347355
3,3,49,2401,2481529
3,4,49,1825,1508017
3,5,49,2307,2445343
3,6,49,2401,2662118
3,7,49,2065,2004697
3,8,49,2354,2618889
3,9,49,2401,2714047
4,2,49,2401,2192182
4,3,49,2119,1948669
4,4,49,2401,2583225
4,5,49,1921,1691718
4,6,49,2401,2676276
4,7,49,2354,2598983
4,8,49,2401,2706798
4,9,49,2113,2106361
